Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Access),Custom field (Account Number),Custom field (Administered By),Custom field (Administrator Email),Custom field (Administrator Name),Custom field (Applications),Custom field (Approval Status),Custom field (Approvers),Custom field (Audience),Custom field (Backout plan),Custom field (Booking Number),Custom field (Building & Room),Custom field (Business Value),Custom field (CAB),Custom field (CPU),Custom field (Cc Groups),Custom field (Cc Users),Custom field (Cc Users),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Customer Name),Custom field (Customer Request Type),Custom field (Customer User ID),Custom field (Data Classification),Custom field (Database),Custom field (Department/Faculty),Custom field (Directories),Custom field (Directors),Custom field (Disk),Custom field (Email Contact),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External issue ID),Custom field (Gigabytes),Custom field (Global Rank),Custom field (Has Database),Custom field (Has Firewall),Custom field (Home Number),Custom field (Impact),Custom field (Impact of failure),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Key Status),Custom field (Memory),Custom field (Network Speed),Custom field (Notification Email),Custom field (Notifications),Custom field (Operating System),Custom field (Operational categorization),Custom field (Oracle Bug/RFE),Custom field (Oracle SR),Custom field (Payment Method),Custom field (Pending reason),Custom field (Probability of failure),Custom field (Product categorization),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Request participants),Custom field (Resources),Custom field (Root cause),Custom field (Satisfaction),Custom field (Severity),Custom field (Source),Custom field (Standard Checks),Custom field (Story Points),Custom field (Testing),Custom field (Urgency),Custom field (VM OS),Custom field (Work Number),Custom field (Workaround),,,,,,,,,,,,,
OWL Help Documentation - Phase 2 - iClicker,ITRC-2863,208759,208732,Sub-task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,rsanchez,rsanchez,2017-09-11 11:42,2017-10-06 12:25,2019-06-11 10:56,2017-09-29 14:31,Documentation,ITRC Project,2017-12-20 0:00,0,owl-documentation,,,,,,,ddorobek,rsanchez,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0voqn:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
Drop In - Roster Changes,ITRC-2848,208500,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2017-09-08 14:33,2017-09-08 14:33,2019-06-11 10:56,2017-09-08 14:33,Support,,,0,forums,owl,roster,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0vn53:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
Drop In - Blackboard Collaborate Help,ITRC-2810,204251,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2017-08-08 13:23,2017-08-08 13:23,2019-06-11 10:56,2017-08-08 13:23,Support,,,0,blackboard-collaborate,owl,owl-bbc,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0uwx3:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
Drop In - Image in Resources Not Displaying,ITRC-2796,202161,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2017-07-17 11:01,2017-07-17 11:02,2019-06-11 10:56,2017-07-17 11:02,Support,,,0,owl,owl-resources,,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0uk0f:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
Ana Garcia Powtoon Project,ITRC-2793,201639,,Task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2017-07-11 13:53,2017-11-03 14:25,2019-06-11 10:56,2017-11-03 14:25,ITRC Project,,,0,itrc-project,powtoon,,,,,,ddorobek,jwinkler,nmccain,,,,,,,,,,,,,,,,,,,,Default,,21/Jul/17 9:01 AM;nmccain;Video script.docx;https://jira.uwo.ca/secure/attachment/26833/Video+script.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0ugsf:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
Drop In - Inputting grades into gradebook,ITRC-2764,198649,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2017-06-13 9:06,2017-06-13 9:06,2019-06-11 10:56,2017-06-13 9:06,Support,,,0,owl,owl-gradebook,support,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0tysf:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
Drop In - Recording with Blackboard Collaborate,ITRC-2727,194294,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2017-05-03 14:20,2017-05-03 14:20,2019-06-11 10:56,2017-05-03 14:20,Support,,,0,blackboard-collaborate,owl,owl-bbc,owl-resources,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0t7vz:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop In - Reordering Pages in Lessons,ITRC-2726,194286,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2017-05-03 14:12,2017-05-03 14:12,2019-06-11 10:56,2017-05-03 14:12,Support,,,0,owl,owl-lessons,,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0t7u7:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTHSCI 2250 - Health Promotion Course Redesign,ITRC-2694,191393,,Task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Done,ddorobek,rsanchez,rsanchez,2017-04-11 11:04,2019-01-16 17:23,2019-06-11 10:56,2017-10-16 15:45,ITRC Project,,2017-06-28 0:00,0,itrc-project,itrc-project-design,itrc-project-storyline,,,,,arakic,ccretu,ddorobek,ifarrukh,nmccain,rsanchez,"Develop layout for PRECED-PROCEED model. 
Researched and developed accordion function. 
Created drag and drop slide. ;19/May/17 3:49 PM;rsanchez;7200","Created the sections for the Generalized Model for Program Planning and MAPP. 
Put together all the models into one module and edited for consistency.
Troubleshooted triggers and navigation.;07/Jun/17 8:48 AM;arakic;18000","Creation of quizzes. Chapter 3 quiz is complete, Chapter 7 quiz is approx. halfway done.;20/Jun/17 3:26 PM;nmccain;7200",Finished the Chapter 7 online module quiz.;21/Jun/17 9:18 AM;nmccain;2700,,,,,,630000,594900,35100,5%,630000,594900,35100,Default,,19/May/17 3:47 PM;rsanchez;PRECEDE-PROCEED-Accordion.PNG;https://jira.uwo.ca/secure/attachment/26128/PRECEDE-PROCEED-Accordion.PNG,19/May/17 3:47 PM;rsanchez;PRECEDE-PROCEED-Drag-Drop.PNG;https://jira.uwo.ca/secure/attachment/26129/PRECEDE-PROCEED-Drag-Drop.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,Jennifer Irwin,,jenirwin,,,"Health Sciences, Faculty of",,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0sqjj:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
Research the limitations of SCORM & Storyline in OWL,ITRC-2683,186973,186361,Sub-task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Obsolete,ddorobek,rsanchez,rsanchez,2017-03-06 9:24,2017-03-29 11:18,2019-06-11 10:56,2017-03-29 11:18,ITRC Project,,,0,articulate-storyline,assignements,itrc-project-storyline,scorm,,,,cbernasc,rsanchez,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|hzzzw6:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
Develop Articulate Template Structure & Design,ITRC-2675,186389,186361,Sub-task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,rsanchez,rsanchez,2017-02-28 13:10,2017-06-27 15:41,2019-06-11 10:56,2017-06-27 15:41,ITRC Project,,2017-04-07 0:00,0,itrc-project-storyline,,,,,,,ifarrukh,rsanchez,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|hzzzw3:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
Record & Edit Voiceovers ,ITRC-2674,186387,186361,Sub-task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Done,ddorobek,rsanchez,rsanchez,2017-02-28 13:07,2017-03-29 10:32,2019-06-11 10:56,2017-03-29 10:32,ITRC Project,,2017-03-10 0:00,0,itrc-project,itrc-project-audio,,,,,,cbernasc,ddorobek,rsanchez,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|hzzzvz:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
OCCPTHER 9613 - Case Study Modules,ITRC-2673,186361,,Task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,rsanchez,rsanchez,2017-02-28 11:43,2019-01-16 17:24,2019-06-11 10:56,2017-06-27 15:42,ITRC Project,,2017-06-07 0:00,0,itrc-project,,,,,,,arakic,astew5,cbernasc,ccretu,ifarrukh,rsanchez,Planning the illustrations and dividing up the work.;14/Mar/17 4:11 PM;cbernasc;7200,Meeting;15/Mar/17 9:50 AM;ddorobek;1800,Voiceover narration;15/Mar/17 3:31 PM;ddorobek;9000,Illustrations;29/Mar/17 10:55 AM;cbernasc;3600,Working on Storyline template;01/May/17 4:21 PM;ddorobek;14400,Storyline module work/recording audio;02/May/17 4:03 PM;ddorobek;14400,Storyline/illustrations;17/May/17 12:48 PM;ddorobek;7200,;07/Jun/17 10:21 AM;astew5;10800,Captioned lightboard video;15/Jun/17 2:46 PM;rsanchez;10800,1008000,928800,79200,7%,1008000,928800,126000,Default,,13/Mar/17 9:36 AM;rsanchez;Case study_OT9613[2].docx;https://jira.uwo.ca/secure/attachment/25240/Case+study_OT9613%5B2%5D.docx,13/Mar/17 12:17 PM;rsanchez;ITRC-2673 - OCCPTHER 9613 Case Study.pdf;https://jira.uwo.ca/secure/attachment/25247/ITRC-2673+-+OCCPTHER+9613+Case+Study.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,Liliana Alvarez,,lalvare2,,,"Health Sciences, Faculty of",,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|hzzzvr:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop In - Formatting Tests and Quizzes,ITRC-2648,183594,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2017-02-01 14:49,2017-02-01 14:50,2019-06-11 10:56,2017-02-01 14:50,Support,,,0,owl,owl-site-info,owl-test&quizzes,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|i0ree7:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
Call In - Number of Current OWL courses,ITRC-2640,182857,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2017-01-26 15:22,2017-01-26 15:22,2019-06-11 10:56,2017-01-26 15:22,Support,,,0,owl,owl-coursesite,,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|i0r9uf:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop In - Student Can't Access Course Site,ITRC-2637,182023,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2017-01-20 15:05,2017-01-20 15:05,2019-06-11 10:56,2017-01-20 15:05,Support,,,0,itrc,itrc-dropin,owl,owl-site-access,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|i0r4p3:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
Call in - Removal from Course Sites,ITRC-2618,180602,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2017-01-11 15:51,2017-01-16 15:21,2019-06-11 10:56,2017-01-16 15:21,Support,,,0,owl,owl-announcements,owl-email,owl-email-notifications,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|i0qvzb:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
 Help Set Up Forums and Assignments for Nursing Course,ITRC-2609,179635,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2017-01-05 14:23,2017-01-19 8:47,2019-06-11 10:56,2017-01-10 10:51,Support,,,0,itrc-appointment,itrc-dropin,owl,owl-assignments,owl-forums,support,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|i0qq0f:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop In - Adding Grades to Gradebook,ITRC-2560,173949,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2016-11-04 10:18,2016-11-04 10:34,2019-06-11 10:56,2016-11-04 10:18,Support,,,0,itrc-dropin,owl,owl-gradebook,owl-grades,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|i0pqwf:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop In - Importing Quiz to OWL from Scantron,ITRC-2551,172987,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2016-10-26 15:08,2016-10-26 15:09,2019-06-11 10:56,2016-10-26 15:09,Support,,,0,itrc-dropin,owl,owl-gradebook,owl-scantron,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|i0pkyn:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop In - Commenting On Word,ITRC-2545,172343,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2016-10-20 14:13,2016-10-20 15:44,2019-06-11 10:56,2016-10-20 14:13,Support,,,0,itrc-dropin,owl,word,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|i0pgzj:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop In - Question About Exam Location Internet Restrictions ,ITRC-2543,172254,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2016-10-19 16:01,2016-10-19 16:01,2019-06-11 10:56,2016-10-19 16:01,Support,,,0,itrc-dropin,owl,owl-accessibility,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|i0pgfr:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop In - Configuring Forums With Groups,ITRC-2492,168256,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2016-09-15 15:25,2016-09-15 15:40,2019-06-11 10:56,2016-09-15 15:26,Support,,,0,itrc-dropin,owl,owl-forum,owl-groups,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|i0orrj:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop In - Importing Content from Previous Site,ITRC-2457,165671,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2016-09-01 14:05,2016-09-01 14:06,2019-06-11 10:56,2016-09-01 14:06,Support,,,0,itrc-dropin,owl,owl-import,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|i0obsv:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
OWL Tool - Lessons - Comments feature,ITRC-2415,162012,78596,Sub-task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,sfoster9,sfoster9,2016-08-03 11:00,2017-11-03 14:25,2019-06-11 10:56,2017-11-03 14:25,Documentation,,,0,owl-documentation,owl-lessons,owl-lessons-comments,,,,OWL Documentation,cstew2,ddorobek,olo3,sfoster9,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|i0np7r:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
Migrant Worker Workshop - Edit,ITRC-2081,151285,,Task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,apypstra,apypstra,2016-05-04 10:33,2016-08-24 9:55,2019-06-11 10:56,2016-08-24 9:55,ITRC Project,,,0,itrc,itrc-filming,itrc-project,,,,,apypstra,cbernasc,ddorobek,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ava John-Baptiste,,ajohnbap,,,,,,,ajohnbap@uwo.ca,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|i0lv7j:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
Create instructions for refreshing the browser caches ,ITRC-417,106167,,Task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,sfoster9,sfoster9,2015-05-04 12:12,2016-08-02 9:43,2019-06-11 10:56,2016-08-02 9:43,Documentation,,,0,browser-cache,documentation,itrc,,,,,akruljev,ddorobek,rsanchez,sfoster9,zalbiraw,,,,,,,,,,,,,,,,,,Default,,05/May/15 1:37 PM;zalbiraw;clearcache (1).pdf;https://jira.uwo.ca/secure/attachment/18319/clearcache+%281%29.pdf,05/May/15 11:03 AM;akruljev;clearcache.docx;https://jira.uwo.ca/secure/attachment/18316/clearcache.docx,05/May/15 12:33 PM;zalbiraw;clearcache.pdf;https://jira.uwo.ca/secure/attachment/18318/clearcache.pdf,05/May/15 2:46 PM;akruljev;finalclearcache.pdf;https://jira.uwo.ca/secure/attachment/18321/finalclearcache.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,,,,,,,,,,,,,,,,,,,,,0|i0e5zz:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,
